nombre,long,lat,hora,NO2
Villaverde,-3.713322222222222,40.34713888888889,2017-10-25 03:00:00,78
Villaverde,-3.713322222222222,40.34713888888889,2017-10-25 04:00:00,70
Villaverde,-3.713322222222222,40.34713888888889,2017-10-25 05:00:00,61
Villaverde,-3.713322222222222,40.34713888888889,2017-10-25 06:00:00,72
Villaverde,-3.713322222222222,40.34713888888889,2017-10-25 07:00:00,93
Villaverde,-3.713322222222222,40.34713888888889,2017-10-25 08:00:00,119
Villaverde,-3.713322222222222,40.34713888888889,2017-10-25 09:00:00,120
Villaverde,-3.713322222222222,40.34713888888889,2017-10-25 10:00:00,113
Villaverde,-3.713322222222222,40.34713888888889,2017-10-25 11:00:00,89
Villaverde,-3.713322222222222,40.34713888888889,2017-10-25 12:00:00,55
Villaverde,-3.713322222222222,40.34713888888889,2017-10-25 13:00:00,41
Villaverde,-3.713322222222222,40.34713888888889,2017-10-25 14:00:00,38
Villaverde,-3.713322222222222,40.34713888888889,2017-10-25 15:00:00,31
Villaverde,-3.713322222222222,40.34713888888889,2017-10-25 16:00:00,40
Villaverde,-3.713322222222222,40.34713888888889,2017-10-25 17:00:00,59
Farolillo,-3.7318527777777777,40.394780555555556,2017-10-25 00:00:00,85
Farolillo,-3.7318527777777777,40.394780555555556,2017-10-25 01:00:00,74
Farolillo,-3.7318527777777777,40.394780555555556,2017-10-25 02:00:00,67
Farolillo,-3.7318527777777777,40.394780555555556,2017-10-25 03:00:00,55
Farolillo,-3.7318527777777777,40.394780555555556,2017-10-25 04:00:00,53
Farolillo,-3.7318527777777777,40.394780555555556,2017-10-25 05:00:00,52
Farolillo,-3.7318527777777777,40.394780555555556,2017-10-25 06:00:00,44
Farolillo,-3.7318527777777777,40.394780555555556,2017-10-25 07:00:00,49
Farolillo,-3.7318527777777777,40.394780555555556,2017-10-25 08:00:00,62
Farolillo,-3.7318527777777777,40.394780555555556,2017-10-25 09:00:00,69
Farolillo,-3.7318527777777777,40.394780555555556,2017-10-25 10:00:00,82
Farolillo,-3.7318527777777777,40.394780555555556,2017-10-25 11:00:00,80
Farolillo,-3.7318527777777777,40.394780555555556,2017-10-25 12:00:00,77
Farolillo,-3.7318527777777777,40.394780555555556,2017-10-25 13:00:00,58
Farolillo,-3.7318527777777777,40.394780555555556,2017-10-25 14:00:00,49
Farolillo,-3.7318527777777777,40.394780555555556,2017-10-25 15:00:00,54
Farolillo,-3.7318527777777777,40.394780555555556,2017-10-25 16:00:00,49
Farolillo,-3.7318527777777777,40.394780555555556,2017-10-25 17:00:00,51
Casa de Campo,-3.7473472222222224,40.419355555555555,2017-10-25 00:00:00,93
Casa de Campo,-3.7473472222222224,40.419355555555555,2017-10-25 01:00:00,85
Casa de Campo,-3.7473472222222224,40.419355555555555,2017-10-25 02:00:00,73
Casa de Campo,-3.7473472222222224,40.419355555555555,2017-10-25 03:00:00,67
Casa de Campo,-3.7473472222222224,40.419355555555555,2017-10-25 04:00:00,59
Casa de Campo,-3.7473472222222224,40.419355555555555,2017-10-25 05:00:00,48
Casa de Campo,-3.7473472222222224,40.419355555555555,2017-10-25 06:00:00,40
Casa de Campo,-3.7473472222222224,40.419355555555555,2017-10-25 07:00:00,40
Casa de Campo,-3.7473472222222224,40.419355555555555,2017-10-25 08:00:00,39
Casa de Campo,-3.7473472222222224,40.419355555555555,2017-10-25 09:00:00,37
Casa de Campo,-3.7473472222222224,40.419355555555555,2017-10-25 10:00:00,56
Casa de Campo,-3.7473472222222224,40.419355555555555,2017-10-25 11:00:00,74
Casa de Campo,-3.7473472222222224,40.419355555555555,2017-10-25 12:00:00,68
Casa de Campo,-3.7473472222222224,40.419355555555555,2017-10-25 13:00:00,57
Casa de Campo,-3.7473472222222224,40.419355555555555,2017-10-25 14:00:00,51
Casa de Campo,-3.7473472222222224,40.419355555555555,2017-10-25 15:00:00,48
Casa de Campo,-3.7473472222222224,40.419355555555555,2017-10-25 16:00:00,43
Casa de Campo,-3.7473472222222224,40.419355555555555,2017-10-25 17:00:00,37
Barajas Pueblo,-3.580030555555555,40.47692777777778,2017-10-25 00:00:00,59
Barajas Pueblo,-3.580030555555555,40.47692777777778,2017-10-25 01:00:00,46
Barajas Pueblo,-3.580030555555555,40.47692777777778,2017-10-25 02:00:00,36
Barajas Pueblo,-3.580030555555555,40.47692777777778,2017-10-25 03:00:00,29
Barajas Pueblo,-3.580030555555555,40.47692777777778,2017-10-25 04:00:00,29
Barajas Pueblo,-3.580030555555555,40.47692777777778,2017-10-25 05:00:00,40
Barajas Pueblo,-3.580030555555555,40.47692777777778,2017-10-25 06:00:00,53
Barajas Pueblo,-3.580030555555555,40.47692777777778,2017-10-25 07:00:00,62
Barajas Pueblo,-3.580030555555555,40.47692777777778,2017-10-25 08:00:00,71
Barajas Pueblo,-3.580030555555555,40.47692777777778,2017-10-25 09:00:00,62
Barajas Pueblo,-3.580030555555555,40.47692777777778,2017-10-25 10:00:00,60
Barajas Pueblo,-3.580030555555555,40.47692777777778,2017-10-25 11:00:00,67
Barajas Pueblo,-3.580030555555555,40.47692777777778,2017-10-25 12:00:00,49
Barajas Pueblo,-3.580030555555555,40.47692777777778,2017-10-25 13:00:00,43
Barajas Pueblo,-3.580030555555555,40.47692777777778,2017-10-25 14:00:00,38
Barajas Pueblo,-3.580030555555555,40.47692777777778,2017-10-25 15:00:00,44
Barajas Pueblo,-3.580030555555555,40.47692777777778,2017-10-25 16:00:00,49
Barajas Pueblo,-3.580030555555555,40.47692777777778,2017-10-25 17:00:00,45
Pza. del Carmen,-3.7031722222222223,40.41920833333333,2017-10-25 00:00:00,102
Pza. del Carmen,-3.7031722222222223,40.41920833333333,2017-10-25 01:00:00,74
Pza. del Carmen,-3.7031722222222223,40.41920833333333,2017-10-25 02:00:00,50
Pza. del Carmen,-3.7031722222222223,40.41920833333333,2017-10-25 03:00:00,61
Pza. del Carmen,-3.7031722222222223,40.41920833333333,2017-10-25 04:00:00,60
Pza. del Carmen,-3.7031722222222223,40.41920833333333,2017-10-25 05:00:00,58
Pza. del Carmen,-3.7031722222222223,40.41920833333333,2017-10-25 06:00:00,61
Pza. del Carmen,-3.7031722222222223,40.41920833333333,2017-10-25 07:00:00,71
Pza. del Carmen,-3.7031722222222223,40.41920833333333,2017-10-25 08:00:00,86
Pza. del Carmen,-3.7031722222222223,40.41920833333333,2017-10-25 09:00:00,87
Pza. del Carmen,-3.7031722222222223,40.41920833333333,2017-10-25 10:00:00,84
Pza. del Carmen,-3.7031722222222223,40.41920833333333,2017-10-25 11:00:00,78
Pza. del Carmen,-3.7031722222222223,40.41920833333333,2017-10-25 12:00:00,72
Pza. del Carmen,-3.7031722222222223,40.41920833333333,2017-10-25 13:00:00,68
Pza. del Carmen,-3.7031722222222223,40.41920833333333,2017-10-25 14:00:00,71
Pza. del Carmen,-3.7031722222222223,40.41920833333333,2017-10-25 15:00:00,70
Pza. del Carmen,-3.7031722222222223,40.41920833333333,2017-10-25 16:00:00,66
Pza. del Carmen,-3.7031722222222223,40.41920833333333,2017-10-25 17:00:00,70
Moratalaz,-3.6453055555555554,40.40794722222222,2017-10-25 00:00:00,89
Moratalaz,-3.6453055555555554,40.40794722222222,2017-10-25 01:00:00,48
Moratalaz,-3.6453055555555554,40.40794722222222,2017-10-25 02:00:00,23
Moratalaz,-3.6453055555555554,40.40794722222222,2017-10-25 03:00:00,23
Moratalaz,-3.6453055555555554,40.40794722222222,2017-10-25 04:00:00,21
Moratalaz,-3.6453055555555554,40.40794722222222,2017-10-25 05:00:00,27
Moratalaz,-3.6453055555555554,40.40794722222222,2017-10-25 06:00:00,45
Moratalaz,-3.6453055555555554,40.40794722222222,2017-10-25 07:00:00,65
